product_id,brand_name,review_id,review_title,review_text,author,review_date,review_rating,is_a_buyer,pro_user,review_label,product_title,mrp,price,product_rating,product_rating_count,product_tags,product_url,review_year,sentiment
771559,L'Oreal Paris,17266360,Gorgeous Look,Product really works out as per our expectations and gives good results. The instant touch up works effectively.,Jayshree Bhojani,4/3/2021,4,FALSE,FALSE,,L'Oreal Paris Hair Colour Protection Combo - Casting Creme Gloss Hair Colour 400 Dark Brown + Magic Retouch,929,929,3.9,190,,https://www.nykaa.com/nylpbndl00486/p/771559,2021,Positive
771559,L'Oreal Paris,17912420,Recommended!,Good combo from L'Oréal. The magic retouch provides a quick fix for grey roots.,anwesha acharyya,22/4/2021,4,FALSE,FALSE,,L'Oreal Paris Hair Colour Protection Combo - Casting Creme Gloss Hair Colour 400 Dark Brown + Magic Retouch,929,929,3.9,190,,https://www.nykaa.com/nylpbndl00486/p/771559,2021,Positive
771559,L'Oreal Paris,17863583,Good,This is really good to cover the scalp where the hair growth is lean. The size is easy to carry in your purse and spray makes it easy to apply.,Rajni Shirodkar,18/4/2021,4,FALSE,FALSE,,L'Oreal Paris Hair Colour Protection Combo - Casting Creme Gloss Hair Colour 400 Dark Brown + Magic Retouch,929,929,3.9,190,,https://www.nykaa.com/nylpbndl00486/p/771559,2021,Positive
7308001,L'Oreal Paris,29367219,Size is not mention,Is it 15ml or 30ml it’s not even mention… can you please help me with this,rasika damedhar,14/10/2022,1,FALSE,FALSE,,L'Oreal Paris Glycolic Bright Day Regime,1297,1102,4,4,"FEATURED, NEW",https://www.nykaa.com/l-oreal-paris-glycolic-bright-day-regime/p/7308001,2022,Negative
7308001,L'Oreal Paris,29519448,Loreal glycolic bright face serum. Day cream and night,Its really amazing. I am so happy for this product.,mousumi Biswas,18/10/2022,4,FALSE,FALSE,,L'Oreal Paris Glycolic Bright Day Regime,1297,1102,4,4,"FEATURED, NEW",https://www.nykaa.com/l-oreal-paris-glycolic-bright-day-regime/p/7308001,2022,Positive
7308001,L'Oreal Paris,28501554,Love,Absolutely amazing products just love it,Sharmistha Paul,12/9/2022,5,FALSE,FALSE,,L'Oreal Paris Glycolic Bright Day Regime,1297,1102,4,4,"FEATURED, NEW",https://www.nykaa.com/l-oreal-paris-glycolic-bright-day-regime/p/7308001,2022,Positive
7308001,L'Oreal Paris,28827603,Wonderful,This range is Awesome and working give it a try guys,Shubham Rawat,24/9/2022,5,FALSE,FALSE,,L'Oreal Paris Glycolic Bright Day Regime,1297,1102,4,4,"FEATURED, NEW",https://www.nykaa.com/l-oreal-paris-glycolic-bright-day-regime/p/7308001,2022,Positive
681194,L'Oreal Paris,16924237,Just love it,Smooth on the lips and long lasting... It definitely does what it promises.. Thank you Nykaa♥️♥️,Prerna Saikia,4/2/2021,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Infallible Ultra Matte Liquid Les Macarons Lipstick,799,799,4.1,714,,https://www.nykaa.com/l-oreal-paris-infallible-ultra-matte-liquid-les-macarons-lipstick/p/681194,2021,Positive
681194,L'Oreal Paris,15778995,Lovely Pink,"Absolutely love the color, formulation & the fragrance! It’s non sticky, very smooth, light on the lips and long lasting! Lasted 6-7 hours for me. It will suit fair to medium skin tones, it can also work for duskier skin tones as well! Go for it if you are looking for a bright yet subtle pink ?",Aditi Sharma,25/11/2020,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Infallible Ultra Matte Liquid Les Macarons Lipstick,799,799,4.1,714,,https://www.nykaa.com/l-oreal-paris-infallible-ultra-matte-liquid-les-macarons-lipstick/p/681194,2020,Positive
681194,L'Oreal Paris,12632059,Infinite spice,A gorgeous peachy shade with hints of pink and brown. Very similar to Smashbox Driver's seat and PAC's no. 17 Go Getter. The lasting power is amazing.,Riya,18/2/2020,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Infallible Ultra Matte Liquid Les Macarons Lipstick,799,799,4.1,714,,https://www.nykaa.com/l-oreal-paris-infallible-ultra-matte-liquid-les-macarons-lipstick/p/681194,2020,Positive
